,닉네임,태그,별점,작성일,발색력,지속력,수분감,피부타입,리뷰
196,yi****,,5,2021.12.23,보통이에요,보통이에요,아주 촉촉해요,건성에 좋아요,"비건 제품이라고 친구한테 추천받아서 한번 사봣어요
매장가서 테스트 해봣는데 1호가 젤 잘 맞더라구요
2호는 바른듯 안바른듯 하고 1호는 조금 화사한 느낌???
쿨톤인데도 1호가 더 잘맞더라구요 2호는 너무 제 피부색 같은 느낌이라 바르나 안바르나 같았습니당ㅠㅠㅠ
그리고 쿨링감도 있어서 너무 좋더라구요 팩트 그 제형에 덮인 매쉬망인가..?? 특이해요ㅋㅋㅋㅋ
피부에 뭐가 나지도 않고 촉촉해서 괜찮은거 같아요 요즘엔 썬크림 컨실러만 바르고 이걸로 수정화장 하는데 마스크에 잘 안묻더라구요 그래서 더 좋은거 같네요
케이스가 좀 크긴하지만 그만큼 거울도 큰거니... 그냥 써보려구요 이가격에 리필도 없는건 아쉽긴 하지만 계속 써보고 다음에 또 사야겠어요 할인 마니마니 해주세요 삼백자 쓰기 너무 힘드네용ㅠㅠㅠ"
197,jaeho****,,5,2021.12.22,아주 만족해요,보통이에요,아주 촉촉해요,건성에 좋아요,"제가 사용하려고 3호인가 2호인가 하는 누드를 구매했는데 너무 촉촉하고 마스크에도 많이 묻어나지 않아서 동생에게 선물하고자 1호도 구매했어요! 동생은 피부가 많이 밝은 편이라서 호수는 잘 맞을 거 같아요 ㅋㅋ 그리고 케이스도 너무 예뻐서 더 좋아할 거 같구요!!! 무엇보다 동생이 광채가 많이 나는 물광 메이크업을 선호하는데 정말 만족할 것 같아서 기대가 됩니다 ㅋㅋㅋ 아직 선물하진 못했는데 빨리 만나서 주고 싶어요! 이렇게 촉촉한데 마스크에 많이 묻지 않는게 최대 장점인 것 같아요! 그리고 퍼프, 케이스가 예쁜 것도 장점! 단점은 가격인데 왜냐면 리필이 포함되지 않았는데 3만원대라는게 ㅠㅠ 좀 비싼 것 같다고 생각돼요 그리고 퍼프나 리필을 아직 따로 구매할 수 없는 거 같은데 빨리 출시되면 좋겠다고 생각하고 의견제시해봅니다!"
198,jr****,,3,2021.12.21,보통이에요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,"쿠션은 처음발랐을때 쿨링감이 느껴졌어요 
건성이 바르면 아주 좋을거같아요.  가을, 겨울에 아주 찰떡인 쿠션입니다. 
톤업크림정도로 생각하셔야될거같고 커버는 생각하시면 실망합니다. 그리고 자기피부보다 한단계 밝게 고르시는게 좋아요 
피부 좋으신분들이 쓰면 예쁜쿠션입니다. 
패키지가 너무 예쁜데 그걸로 다했어요..   제품력에 비해 쿠션은 가격이 비싼거같아요"
199,sun0****,,4,2021.12.21,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,"아직 쿠션을 찾지못한 유먹민입니다 그래서 이것저것 ㅜㅜ 집에 몇개가 있는지.. 다른 팩트는 아무리
기초를 잘올려도 눈이랑 광대쪽이 너무 땡겨서 팩트해도 수시로 세라미드크림들고다니 바르는데 요아이는 촉촉하다고하니 믿어볼께요.. 그리고 한쪽으로  밀려왔는지 오픈했을때 좀.. 그래서 별하나빼요"
200,sjislo****,,5,2021.12.18,보통이에요,보통이에요,아주 촉촉해요,건성에 좋아요,"일단 저는 광나고 촉촉한거 좋아하고 커버는 중요하지 않고 피부표현 예쁜거 좋아해서 구매했는데  대체적으로 맘에 듭니당 !! 젤리 타입의 촉감이 신기하고 일단 바르면 쿨링감이 느껴져요 촉촉해서 잘 펴발라지는데 커버력은 제가 생각한것보다도 낮아서 조금이라도 커버 중요시 하시는 분들은 고민해보셔야할 것 같습니당 마스크 묻어남은 적은데 찍힘이 살짝 있었어요 그치만 뚜들뚜들하면서 수정하묜 바로 사라집니다! 아무래도 무너짐이란게 거의 없구 피부와 어우러지면서 깔끔하게 밀착되는 느낌 ??? 제 피부가 좋아보여요 ㅎㅎ 기초만 조절하면 웬만한 피부타입은 무난하게 사용하실 듯 합니다! 제가 제일 맘에 안 드는 부분은 쿠션의 크기,,, 너무 커요 정말정말 개인적인 부분이지만 웬만한 쿠션들보다 커서 굳이 들고다니고 싶지 않은 ㅠ 수정용으로도 좋은 쿠션인거 같아서 조금 아쉽습니다만 제품 자체는 넘넘 맘에 듭니당 !!!"
201,hhyoun****,,5,2021.12.18,아주 만족해요,예상보다 짧아요,아주 촉촉해요,건성에 좋아요,"와 이거 미쳤는데요!??? 개좋아요
유튜버들한테 맨날 속다가 드디어 하나 건진 느낌...
진짜 누구였지 샤넬 레베쥬 같다고 하셨는데 진짜 그말 공감합니다... 진짜 촉촉하고 피부 고급스러워보여요 최고ㅠㅠㅠ 진짜 왜 이제 샀지 너무 아쉬운템
얘때문이라도 빨리 뾰로롱 종식되고 마스크프리 세상 오면 좋겠어요 내 피부 자랑하게 ㅋㅋㅋ

아 진짜 아침에 얘 때문에 화장하는거 너무 즐겁고 재미나요ㅠ 당연히 커버력은 부족하지만 톤보정은 잘 되는 그런 정도에요! 여드름 자국은 안 가려지지만 어느정도는 되는 느낌이랄까????

조금 아쉬운 것은 밝은 피부톤이라 가장 밝은거 샀는데 색감이 살~짝 아쉬워요 살~짝 회기도는 밝은 느낌이랄까?? 좀 두껍게 발랐더니 색감이 더 아쉽게 느껴지더라구요
하지만 이번 겨울 완전 잘 쓸것 같습니당"
202,viviana****,,5,2021.12.17,아주 만족해요,지속이 오래돼요,아주 촉촉해요,복합성에 좋아요,"이제 코로나19 장기화로.. 마스크를 벗을 수 없는 상황이기에 피부 자극이 더 해가고 있습니다. 그래서 더이상 피부에 자극주기가 싫어서 비건제품을 찾았는데요. 우선 클린 & 비건 성분에 컬러또한 트렌드해서 정말 사용하기도 전에 마음에 쏘옥 들었습니다.
우선 어뮤즈 듀 젤리 비건쿠션은 제조 과정부터 포뮬라까지 까다롭다는 프랑스 EVE VEGAN에서 인증받은 비건큐션이라고 했습니다. 정제수 대신에 고영양 젤리 에센스를 70%담아 스킨케어 효과도 있는 쿠션이라고 상세히 설명이 되어있습니다.
피부 속부터 탄탄하게 수분이 차올라 물찬광이 느껴져 물찬광 쿠션이ㄹ는 애칭도 있는 제품이라 기대가 컸습니다.
우선 저는 마스크에 묻어남이 없는 쿠션을 선호하기 때문에 정말 효과가 있는데 또한 트러블 즉 자극이 없는 제품인지 궁금했습니다."
203,soooy****,,5,2021.12.17,아주 만족해요,보통이에요,아주 촉촉해요,복합성에 좋아요,"같은 세일기간에 제품을 다섯개나 구매했어요. 한 번 써보고 케이스가 좀 커서 들고다니기 불편한거 빼고는 제품력이 너무 괜찮아서 세개나 더 쟁여뒀습니다. 왜 리필은 따로 안파시나요 ㅠㅜ 1.5 맑음 색상으로 구매했는데 22호 주로 쓰는 피부에도 그렇게 눈에 띄게 밝지 않아서 무난하게 사용하기 좋아요. 촉촉한 타입이라 지성 피부이지만 겨울에 각질 일어나지 않게 바르기 좋구요, 지속력이 그렇게 좋진 않은거 같지만 예쁘게 무너지는 타입이라 오래 외출해도 괜찮은 거 같아요.
커버력은 컨실러랑 같이 사용해주면 되서 크게 신경 안씁니다.
케이스가 투명해서 너무 이쁘고 제품이 쫀쫀해서 평소에 헤라나 입생로랑꺼 쓰고 있었는데 완전히 갈아탈까 생각중이에요/
어뮤즈에서 이렇게 좋은 상품이 나올 지 몰랐네요. 추천합니다."
204,jypark****,,5,2021.12.15,보통이에요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,"비건 쿠션이 새롭게 나왔다고 해서 구매해보았습니다. 요즘 환경에도 관심이 많고 또 제 피부에도 무리 없이 바를 수 있는 제품을 찾다가 마침 발견한 쿠션인데 사용한지 2주가 지나서 후기를 남깁니다. 우선 매우 촉촉해서 쿨링 효과가 띄어난데, 여름에 쓰면 보다 더 좋을 것 같습니다. 그리고 젤리 쿠션 답게 다른 쿠션들과는 다르게 젤리망같은 느낌으로 살살 눌러도 충분히 묻혀지기 때문에 양 조절이 수월한 것 같습니다! 단점으로는 투명하게 발리는 제품 특성상 얇게 발려서 다소 커버력이 아쉽지만 커버력은 애초에 컨실러를 사용하기 때문에 다른 부위들은 투명하고 깔끔하게 마무리 돼서 좋은 것 같습니다. 그리고 제가 평소 톤을 높게 발라서 다크닝을 매우 중요시 여기는데 다크닝이 덜 와서 좋은 것 같아요! 그래서 매우 만족스럽고 1호도 매우 밝아서 다음에는 2호로 구매할 예정입니다"
205,ya****,,5,2021.12.14,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,쿠션사는거 좋아해서 맘ㅎ이 구매하고 사봤는게 어뮤즈 쿠션도 ㅁ비건이라는 슬로건이 마음에 글어서 한번 사봐썽요 근데 아무래도 좋네요 일단 겨울철에 얼굴 댕김이업ㅎ고요 저는 커버력 거의넚는 쿠션을 좋아해서 커버력 생각하시면 럼청 실망하실수도잏어요 ㅁ반면 커버력은 없이 생기하게 복숭아처럼 가벼운거 조아하시는 분들은 이거 정말 오앙 추천합니나~~ 되게 퓨어하게 피부에올라가요 그리고 마스크묻어남은 약간 잇는편인데 마스크안에서 무너지는것 자체가 되게 반짝거리면서 무너져서 더럽게 커버 하지 앙ㅎ아도 댑니다 그런면에서는 완전 추천 아참차 그리고 되게 촉촉해서 수분크림을 과하게 바르지 않아도 그냥 잘발랴요 저는 선크림만 바르고 발랏어요 어뮤즈 다른 쿠션도 사서 함 써볼거에요 아무튼 전 넘 좋아요 추천춴
206,kasijj****,,5,2021.12.14,아주 만족해요,보통이에요,아주 촉촉해요,건성에 좋아요,"샤*꺼랑은 비슷하다고 하기엔 결이 좀 다른 거 같구요 (샤*은 그래도 쌓으면 살짝씩 쌓이고 커버가 아주 조금 되는 스타일) 
저는 커버력 높은것보다는 자연스럽고 피부 비치는 걸 오히려 선호해서 만족해요 일부러 누드색상으로 샀는데 그냥 피부 좋은 사람처럼 보여서 1.5맑음도 구매했어요"
207,lucci****,,5,2021.12.14,아주 만족해요,보통이에요,아주 촉촉해요,건성에 좋아요,"남들이 어뮤즈,, 어뮤즈 할 때,, 괜한 의심으로 어뮤즈 빼고 다 사봤던 나 반성해,, 제가 다른 어뮤즈 쿠션은 아직 써보지 않았지만, 이번 쿠션 정말 마음에 들어요..!! 후,, 일단 컬러가 너~무 이쁘고 바를때 챱챱 춉춉 물방울물방울 하게 발리는 것도 너무 마음에 들고, 정말 퍼프에 조금 남은 양으로도 슥슥 밀어서 발라주면 모공 커버도 잘되더라구요? 가끔 양이 많아야만 모공 커버가 되는 제품들이 있는데,, 얘는 진짜 좋아요,, 그리고 일단 피부가 최근 엄청엄청 건조했는데도 불구하고 완전 수분광 지대로 내주고,, 아주 마음에 듭니다,, 근데 커버력은 약간 거의 없어서 커버력을 중점으로 보시는 분들은 아쉬울 수도 있을 것 같아요! 그럼에도 불구하고 무너짐이 너무 자연스럽고(더럽지 않고 몽글몽글도 없음, 그냥 내 피부에 스며들듯 무너짐) 컬러가 너~무 맘에 들어서 출근 쿠션으로 딱입니당,, :)"
208,fa****,,5,2021.12.13,아주 만족해요,보통이에요,아주 촉촉해요,건성에 좋아요,"건성인 사람한테 딱 좋은 수분감이 있어 좋네요
커버력이 아쉽다고 하지만 전 만족합니다! 얼굴에서 광이 나네요~ 마스크에 많이 안 묻어나서 제일 좋습니다"
209,club91****,,5,2021.12.10,보통이에요,보통이에요,아주 촉촉해요,건성에 좋아요,"지속력은 방금 써봐서 더 지켜봐야할것 같구요 우선 비건이라는 부분이
제일 맘에들었고 이전에도 어뮤즈 써본적있는데 그 제품은 지속력이 좋진않았어요 대신 촉촉함은 1등인듯해요!! 건조한겨울에 좋은듯요! 너무 세거나 두꺼운건 원하지않아서 지금 딱 좋긴해요☺️가벼운느낌!!!"
210,ghkddbwl****,,5,2021.12.09,아주 만족해요,지속이 오래돼요,아주 촉촉해요,복합성에 좋아요,ㅠㅠ 진짜 만족스러워요 유튜브 영상 많이 보고 커버력 없다고 해서 살까말까 고민을 진짜 많이 했는데 사길 백번 잘했습니다 ㅎㅎ 커버력 없다는 얘기를 하도 들어서 커버력은 하나도 기대를 안하고 구매했는데 제가 너무 기대를 안했던건지 생각했던 것 보다는 커버력도 좀 있는 느낌이었고 컬러도 너무 맑은 상아빛으로 예쁩니다 어떤 후기에서 1.5호는 안밝다고 하는걸 봤어서 1호를 살까 고민을 했었는데 1.5호 사길 백번 잘한 것 같아요 개인적으로 1.5호 생각보다 훨씬 맑고 밝은 느낌이었습니다..! 그리고 수정화장이 너무 잘 돼요 처음 올릴때 쿨링감 진짜 대박이에요 너무 시원해서 그만 발라야되는데 자꾸 올리고 싶어요ㅠㅋㅋ 정리하자면 시원하고 얇게 맑게 예쁘게 올라가면서 수정화장도 잘되는 쿠션이에요 저는 앞으로 이 쿠션에 정착할 것 같습니다..ㅎ
211,soooy****,,5,2021.12.08,아주 만족해요,지속이 오래돼요,아주 촉촉해요,복합성에 좋아요,"원래 수정화장을 잘 안하는 편이라 그냥 들고다니기만 해서 기존에 잇던 해라 쿠션이 다 안썼는데도 너무 오래됐더라구요.
한개 바꿔야 겠다는 생각을 하고 있었는데 유튜브에 자주 등장하고 제품력도 괜찬ㄹ다고 하길래 이걸로 한 번 사봣습니다.
케이스가 좀 무겁고 크긴 해요 헤라에 비해서 근데 이쁘ㅂ니다ㅎㅎㅎ
매쉬 망을 통해서 나오는게 특이해요. 근데 퍼프 좀 더 따로 구매하고 싶었는데 그렇게는 안 파시더라구요
1.5호맑음으로 구매했는데 제 피부에 잘 맞고 촉촉하ㄴ데 생각보다 커버력 있게 마무리 되더라구요. 컨실러 따로 안해도 잘 가려져서 놀랐어요
바르고 오래 돌아다니진 않아서 어떻게 무너지는 지는 아직 확인을 못해봤는데 처음에 올라가는 느낌은 마음에 듭니다
한 번 발라보고 바로 한 개 더 주문했어요
잘 쓰겠습니다"
212,다혜나,,4,2021.12.04,보통이에요,보통이에요,아주 촉촉해요,복합성에 좋아요,비건제품이라서 기대했는데 나쁘지 않았어요 계속 써보니 촉촉하고 물광피부같은 느낌이 아주 쪼금 들더라고요
